Provincia,Partido,,,Otros,"0,256 mbps",,,"0,512 mbps","0,625 mbps","0,75 mbps",1 mbps,,,2 mbps,"2,2 mbps",,,"3,3 mbps","3,5 mbps",4 mbps,"4,5 mbps",,,"6,4 mbps",7 mbps,,,9 mbps,10 mbps,,12 mbps,13 mbps,14 mbps,,16 mbps,17 mbps,18 mbps,,20 mbps,21 mbps,,23 mbps,24 mbps,25 mbps,,"25,11 mbps","25,5 mbps",26 mbps,,31 mbps,32 mbps,,35 mbps,36 mbps,38 mbps,,40 mbps,41 mbps,45 mbps,46 mbps,49 mbps,50 mbps,,58 mbps,59 mbps,60 mbps,,62 mbps,64 mbps,,66 mbps,70 mbps,75 mbps,,80 mbps,82 mbps,83 mbps,,90 mbps,92 mbps,,100 mbps
SANTA CRUZ,Río Chico,Gobernador Gregores,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,9 de Julio,,,,,,,,,,,,,,,,,,,,,,,,29,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gato Colorado,82077020,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,Gregoria Pérez de Denis (Est. El Nochero),82077030,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,9 de Julio,,82077040,,,,,,,,,,,,,,,,,,,,,,37,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,9 de Julio,,82077050,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,Pozo Borrado,82077060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,San Bernardo,82077065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,9 de Julio,Santa Margarita,,,,,,,,,,,,,,,,,,,,,,,87,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,Tostado,82077080,,,,2,,,,,,,,,,3,,,,,,,,"1,518",,,,"1,170",,,,,,,,,,,,,,,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,9 de Julio,,82077090,,,,5,,,,,,,,,,,,,,,,,,221,,,,36,,,,,,,,,,1,,,,,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,Belgrano,Armstrong,82007010,,,,,,,,13,,,,,,199,,,,,145,239,,,,,,,,,,,60,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
SANTA FE,Belgrano,,,0,,,,,,,1,,,,,,,,,,,,,,,,32,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Belgrano,,82007030,,,,,,,,19,,,,,,33,,,,,124,,,,,,,728,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,Las Rosas,82007040,,,,,,,,,,,,,,35,,,,,,333,,,,,,"2,781",,,,,634,,,,,111,,,,,,,,,,4,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,Montes de Oca,82007050,168,,,1,,,,,,,,,,,,,,,557,,,,,67,,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Belgrano,,82007060,,,,,1,,,2,,,,,,,,,,,,17,,,,,,122,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Caseros,Arequito,,,,,,,,,2,,,,,,,,,,,,,,,,,,44,,,,,,,,,,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Arteaga,82014020,,,,,,,,,,,211,,,5,,,,,14,24,,,,279,,,,,,,9,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Caseros,,82014030,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,Bigand,82014040,,,,,,,,1,,,,,,,,,,,,,,,,,,"1,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,Casilda,82014050,,,,,,,,58,,,44,,,872,,,23,,1,,,,,,,"2,435",,20,,,,,,3,,615,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611
SANTA FE,Caseros,,82014060,850,,,,,,,,,,,,,15,,,,,,90,,,,,,452,,,,,71,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Caseros,,,1,,,,,,,3,,,,,,2,,,,,,24,,,,,,,,,,,"1,215",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caseros,Gödeken,82014080,,,,,,,,,,,,,,,,,,,,,,,,498,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Los Molinos,82014090,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Caseros,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Caseros,,82014110,,,,,,,,,,,,,,1,,,8,,241,,,,,8,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,San José de la Esquina,82014120,1,,,,,,,1,,,,,,,,,,,,31,,,,"1,003",,83,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Caseros,Sanford,,,,,,,,,,,,,,,,,,,,,,,,,,,438,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Villada,82014140,,,,,,,,,,,,,,2,,,,,,8,,,,,,79,,,,,4,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Castellanos,,82021010,75,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,15,,,,,291,,,,,,,,,,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,Angélica,82021020,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Castellanos,Ataliva,82021030,,,,,,,,,,,,,,,,,,,390,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Castellanos,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Castellanos,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bella Italia,82021070,,,,,,,,1,,,,,,,,,,,,323,,,,,,24,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
SANTA FE,,Castellanos,82021080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Castellanos,,82021090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,
,,Colonia Cello,82021100,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Castellanos,Colonia Margarita,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Castellanos,Colonia Raquel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,135
,Castellanos,Coronel Fraga,82021130,,,,,,,,,,,,,,,,,,,,27,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esmeralda,82021150,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Castellanos,,82021160,,,,,,,,,,,,,,,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Castellanos,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,Eusebia y Carolina,82021180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,
,Castellanos,Eustolia,82021190,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Castellanos,Frontera,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,Humberto Primo,82021220,,,,,,,,1,,,,,,,,,,,10,,,1,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Castellanos,,,,,,,,,,,,,,,,1,,,,,1,81,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Castellanos,Lehmann,82021240,,,,,,,,,,,,,,246,,,,,0,135,,,,,,,,,,,98,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
SANTA FE,Castellanos,María Juana,,,,,,,,,,,,,,,,,,,,,,,788,,,,756,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Castellanos,,,,,,,,,,1,,,,,,,,,,,,,,,,,,29,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Plaza Saguier,82021280,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,Presidente Roca,82021290,,,,,,,,,,,,,,,,,,,5,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SANTA FE,Castellanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Castellanos,Rafaela,,2,,,,1,,1,161,,,2,,,260,,3,151,,"1,199",,,106,,,,529,,308,41,,,,,21,,191,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"10,642"
,Castellanos,Ramona,82021320,,,,,,,,,,,,,,,,,,,327,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Castellanos,,,,,,,,,,,,,,,,,,,,,59,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,San Vicente,82021340,,,,,,,,168,,,,,,,,,,,,,,,,,,"1,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,Santa Clara de Saguier,82021350,,,,,,,,8,,,,,,4,,,,,218,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Castellanos,,,40,,,,,,,,,,,,,21,,,,,7,178,,18,,25,,327,,1,90,,430,7,,,,3,,,,,8,,,,,,,,,,,,,,,,,,"5,188",,,,,,,,,,,,,,,,,,,,
SANTA FE,Castellanos,Susana,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,302
,Castellanos,Tacural,82021380,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345
,Castellanos,Vila,82021390,,,,,,,,,,,,,,,,,,,,,,,,,,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Castellanos,Villa San José,,,,,,,,,,,,,,,,,,,,31,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Castellanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zenón Pereyra,82021430,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Constitución,Alcorta,,,,,,,,,1,,,,,,,,,,,,,,,,,,"2,097",,,,,,,,,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Constitución,Bombal,82028040,,,,,,,,,,,,,,,,,,,,761,,,,,,160,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Constitución,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,Empalme Villa Constitución,82028070,,,,,,,,6,,,,,,,,,,,,,,,,,,467,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Constitución,General Gelly,82028090,,,,,,,,,,,,,,,,,,,190,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Constitución,Godoy,,,,,,,,,,,,10,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Constitución,Juan B. Molina,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Constitución,Juncal,82028120,,,,,,,,,,,,,,,,,,,,171,,,,,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,La Vanguardia,82028130,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,
SANTA FE,Constitución,,,,,,,,,,,,,,,,,,,,,,293,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Constitución,Pavón,82028150,,,,,,,,,,,,,,1,,,,,,15,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Constitución,Pavón Arriba,,,,,,,,,,,,,,,,,,,,,,,,,,,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Constitución,Peyrano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Constitución,Rueda,82028180,,,,,,,,,,,50,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Santa Teresa,82028190,,,,,,,,,,,,,,3,,,,,179,29,,,,,,,,,,,26,,,,,115,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,2
SANTA FE,Constitución,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Constitución,,82028230,"1,355",,,,,,,134,,,,,,391,,,,,,,,,,,,"2,717",,,,,,,,2,,,,,,,78,,,,,,,,,,,,,,,,,,961,,,,,,,,,,,,,,,,,,,,858
,,Cayastá,82035010,,,,,,,,,,,,,,240,,,,,68,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Garay,Helvecia,82035020,,,,,,,,,,,,,,205,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Garay,Los Zapallos,,,,,,,,,14,,,17,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Saladero Mariano Cabal,82035040,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,Garay,,,,,,,,,,,,,162,,,237,,,,,251,7,,,,109,,59,,,,,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General López,Aarón Castellanos (Est. Castellanos),82042010,,,,,,,,7,,,,,,1,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General López,Amenábar,,,,,,,,,,,,,,,,,,,,,22,,,,,,112,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General López,,,1,,,,,,,,,,,,,,,,,,,,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cañada del Ucle,82042040,,,,,,,,,,,,,,200,,,,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Carmen,82042050,,,,,,,,,,,,,,82,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General López,,82042060,,,,,,,,,,,,,,,,,,,,1,,,,,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General López,Chapuy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General López,Chovet,82042080,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General López,,82042090,,3,,,7,,,,,,,,,2,,,,,10,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Diego de Alvear,82042100,,,,206,,,,13,,,20,,,,,55,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,Elortondo,82042110,,,,,,,,10,,,,,,,,,,,,,,,,,,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General López,,82042120,2,,,,,,,,,,,,,69,,,,,,724,,,,,,,,7,,,60,,,,,10,,,,,115,,,,,3,,,,,,,,,,,,,"1,360",,,,,,,,,,,,,,,,,,,,
SANTA FE,General López,,,,,,,,,,,,,,,,,,,,,,"1,011",,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,La Chispa,82042140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Labordeboy,82042150,,,,,,,,,,,,,,,,,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General López,Maggiolo,,3,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General López,,82042180,,1,,,9,,,12,,,,,,820,,,,,201,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,Melincué (Est. San Urbano),82042190,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Murphy,82042210,,,,,,,,,,,,,,550,,,,,154,,,,,,,12,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General López,,82042220,,,,,,,,45,,,,,,125,,,21,,,"3,677",,,,"1,451",,,,341,,,90,,,,,46,,,,,,,,,,23,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
SANTA FE,,San Eduardo,82042230,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General López,San Francisco de Santa Fe,82042240,,,,1,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General López,,,96,20,,,61,,,,,,,,,,,,,,80,,,,,,,816,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General López,Sancti Spiritu,,,,,,,,,,,,,,,,,,,,828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Santa Isabel,82042270,,,,1,,,,3,,,,,,,,,,,,,,,,,,932,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,Teodelina,82042280,,,,,,,,164,,,,,,935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General López,,82042290,381,,,,,,,,,,2,,,301,,,,,1,672,,,,,,"4,806",,240,,,184,,,,,"2,676",,,,,"1,937",,,,,"1,289",,,,,,,,"1,431",,,,,"5,650",,,,416,,,,,,,,,,,,,,,,
,,Villa Cañás,82042300,,,,,,,,10,,,,,,150,,,,,75,371,,,,,,,,,,,70,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General López,,,,,,,,,,14,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General Obligado,,,,,,,,,,15,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General Obligado,Avellaneda (Est. Ewald),82049020,,,,,,,,,,,,,,606,,,,,298,,,23,,,,,,,,,,,,,,34,,,,,100,,,,,890,,,,,,,,,,,,,791,,,,,,,,,,,,,952,,,,,,,
SANTA FE,,Berna,82049030,10,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General Obligado,,82049040,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General Obligado,,82049050,,,,1,,,,,,,,,,80,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,Florencia,82049060,,,,1,,,,,,,,,,5,,,,,,158,,,,,,386,,,,,36,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Guadalupe Norte,82049070,,,,,,,,,,,,,,1,,,,,,8,,,,,,,,,,,13,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General Obligado,Ingeniero Chanourdie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,La Isleta,82049090,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General Obligado,,82049100,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General Obligado,Lanteri,82049110,,,,,,,,77,,,,,,161,,,,,31,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General Obligado,,,,,,,,,,2,,,,,,,,,,,,11,,,,,,63,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,General Obligado,,82049130,,,,,1,,,,,,,,,,,,,,,,,,,,32,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,Los Laureles,82049140,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,,Malabrigo,82049150,160,,,,,,,113,,,,,,95,,,,,193,22,,,,,,,,,,,25,,,,,104,,,,,,,,,,183,,,,,,,,,,,,,193,,,,,,,,,,,,,,,,,,,,
